procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3716380 383696 2755408    0    0     0     8  247  514  1  1 99  0  0
 1  0 106980 3714392 383696 2755408    0    0     0    54  250  544  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 106980 3714456 383696 2755416    0    0     0     6  251  512  0  0 100  0  0
 1  0 106980 3716504 383696 2755436    0    0     0    16  259  540  1  1 98  0  0
 0  0 106980 3714332 383696 2755512    0    0     0    70  262  551  1  1 98  0  0
 1  0 106980 3714084 383696 2755536    0    0     0    90  288  568  3  1 97  0  0
 0  0 106980 3716392 383696 2755560    0    0     0    66  276  572  1  1 98  1  0
 0  0 106980 3716380 383696 2755568    0    0     0    20  276  563  1  1 99  0  0
 1  0 106980 3714332 383696 2755584    0    0     0     4  262  543  1  1 99  0  0
 0  0 106980 3714332 383696 2755584    0    0     0    58  266  532  1  0 99  0  0
 0  0 106980 3714332 383696 2755588    0    0     0    26  267  542  1  0 99  0  0
 0  0 106980 3716364 383696 2755468    0    0     0     8  277  570  1  2 97  0  0
 0  0 106980 3716380 383696 2755488    0    0     0    80  272  532  1  0 99  0  0
 0  0 106980 3714332 383696 2755504    0    0     0    14  286  539  1  0 99  0  0
 1  0 106980 3714332 383696 2755504    0    0     0     2  270  529  1  1 99  0  0
 0  0 106980 3714332 383696 2755504    0    0     0    58  272  540  1  0 99  1  0
 0  0 106980 3716384 383696 2755512    0    0     0     8  285  568  1  1 98  0  0
 0  0 106980 3714168 383696 2755624    0    0     0    22  252  540  0  1 99  0  0
 0  0 106980 3714176 383696 2755504    0    0     0    72  264  563  2  1 97  0  0
 0  0 106980 3716324 383696 2755472    0    0     0    14  264  576  1  0 99  0  0
 0  0 106980 3712164 383696 2755500    0    0     0    20  290  594  4  1 95  0  0
 0  0 106980 3716196 383696 2755520    0    0     0    88  275  556  1  1 98  0  0
 0  0 106980 3716124 383696 2755548    0    0     0    62  288  571  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 106980 3713776 383696 2755564    0    0     0     0  269  540  1  1 98  0  0
 0  0 106980 3713652 383696 2755564    0    0     0    54  265  525  0  0 99  1  0
 0  0 106980 3716336 383696 2755568    0    0     0     8  268  562  1  1 98  0  0
 0  0 106980 3716376 383696 2755572    0    0     0     2  254  530  0  1 99  0  0
 0  0 106980 3714332 383696 2755592    0    0     0   408  247  505  1  1 99  0  0
 0  0 106980 3716464 383696 2755532    0    0     0    18  281  581  2  1 98  0  0
 0  0 106980 3716504 383696 2755464    0    0     0     0  242  494  1  0 99  0  0
 0  0 106980 3716504 383696 2755464    0    0     0    64  259  547  1  0 99  0  0
 0  0 106980 3714320 383696 2755544    0    0     0    14  258  542  1  1 99  0  0
 0  0 106980 3714332 383696 2755544    0    0     0    96  258  533  1  1 99  0  0
 0  0 106980 3714332 383696 2755544    0    0     0    10  260  540  1  0 99  1  0
 0  0 106980 3714332 383696 2755544    0    0     0     2  260  522  1  0 99  0  0
 0  0 106980 3714332 383696 2755544    0    0     0   472  257  535  3  1 89  8  0
 0  0 106980 3716200 383696 2755564    0    0     0     8  263  547  1  0 98  0  0
